level,uc_code,topic_slug,playlist_id,priority
uc,19411000,,PLwIg5FO9gLH-DhCqWJdJCXN4TLpFrB78B,1
uc,19411000,,PL_cUvD4qzbkw5bdVWiBec1OFxkUGW6EVJ,2
topic,19411000,variaveis-e-tipos,PLwIg5FO9gLH-DhCqWJdJCXN4TLpFrB78B,1
topic,19411000,estruturas-controle,PL_cUvD4qzbkw5bdVWiBec1OFxkUGW6EVJ,1
uc,19411001,,PLDyKYfemCqOx-u-n1QT9RZLGhg-3DqTnL,1
uc,19411001,,PL4cUxeTA_39BY819sScUTszUeIO9BY3a_,2
uc,19411001,,PLqM7alHXFySHX34lUJEFVgJoWVV2Ley3V,3
uc,19411006,,PL4cUxeTA_39BY819sScUTszUeIO9BY3a_,1
uc,19411006,,PLqM7alHXFySHX34lUJEFVgJoWVV2Ley3V,2
uc,19411006,,PLDyKYfemCqOx-u-n1QT9RZLGhg-3DqTnL,3
uc,19411011,,PLqM7alHXFySHX34lUJEFVgJoWVV2Ley3V,1
uc,19411011,,PL2_aW6pP2S96NrdbYIEKxr6P_5X_5HUHZ,2
uc,19411011,,PLpPXw4zFqpH_aXEWIp_GY8zcsUVpfvCZ9,3
