course_code,uc_code,title,ects,semester,year,language,prerequisites_count,learning_outcomes_count,topics_count,playlists_count
LESTI,19411000,Programação,5.0,1,1,pt,0,5,4,2
LESTI,19411001,Ambientes de Desenvolvimento Colaborativo,6.0,1,2025,pt,0,5,4,3
LESTI,19411002,Análise Matemática I,5.0,1,,pt,0,3,0,0
LESTI,19411003,Álgebra Linear e Geometria Analítica,5.0,1,,pt,0,3,0,0
LESTI,19411004,Física,5.0,1,,pt,0,3,0,0
LESTI,19411005,Arquitetura de Computadores,5.0,1,,pt,0,3,0,0
LESTI,19411006,Programação Orientada a Objetos,6.0,2,2025,pt,1,5,4,3
LESTI,19411007,Tecnologias Web,5.0,2,,pt,0,3,0,0
LESTI,19411008,Análise Matemática II,7.0,1,,pt,0,3,0,0
LESTI,19411009,Sistemas Operativos,5.0,1,,pt,0,3,0,0
LESTI,19411010,Gestão,5.0,2,,pt,0,3,0,0
LESTI,19411011,Algoritmos e Estruturas de Dados,6.0,2,2025,pt,2,5,4,3
LESTI,19411012,Base de Dados I,5.0,3,,pt,0,3,0,0
LESTI,19411013,Aprendizagem Automática,5.0,3,,pt,0,3,0,0
LESTI,19411014,Redes de Computadores,5.0,3,,pt,0,3,0,0
LESTI,19411015,Computação Visual,5.0,3,,pt,0,3,0,0
LESTI,19411016,Engenharia de Software,5.0,4,,pt,0,3,0,0
LESTI,19411017,Base de Dados II,5.0,4,,pt,0,3,0,0
LESTI,19411018,Probabilidades e Estatística,5.0,4,,pt,0,3,0,0
LESTI,19411019,Computação Móvel,5.0,4,,pt,0,3,0,0
LESTI,19411020,Análise de Dados e Visualização da Informação,5.0,5,,pt,0,3,0,0
LESTI,19411021,Desenvolvimento de Aplicações Web,5.0,5,,pt,0,3,0,0
LESTI,19411022,Inteligência Artificial,5.0,5,,pt,0,3,0,0
LESTI,19411023,Técnicas de Comunicação,3.0,2,,pt,0,3,0,0
LESTI,19411025,Microprocessadores,5.0,3,,pt,0,3,0,0
LESTI,19411026,Tecnologias e Aplicações para WebSIG,5.0,3,,pt,0,3,0,0
LESTI,19411028,Computação Reconfigurável,5.0,4,,pt,0,3,0,0
LESTI,19411029,Computação em Nuvem,5.0,4,,pt,0,3,0,0
LESTI,19411030,Projeto na Empresa III,5.0,4,,pt,0,3,0,0
LESTI,19411031,Laboratório IoT,5.0,5,,pt,0,3,0,0
LESTI,19411033,Introdução à Robótica,5.0,5,,pt,0,3,0,0
LESTI,19411034,Projeto na Empresa IV,5.0,5,,pt,0,3,0,0
LESTI,19411035,Estágio,30.0,6,,pt,0,3,0,0
LESTI,19411036,Projeto,30.0,6,,pt,0,3,0,0
LESTI,19411037,Opção I UAlg/ISE,3.0,2,,pt,0,3,0,0
LESTI,19411038,Opção II UAlg/ISE,5.0,3,,pt,0,3,0,0
LESTI,19411039,Opção III UAlg/ISE,5.0,4,,pt,0,3,0,0
LESTI,19411040,Opção IV UAlg/ISE,5.0,4,,pt,0,3,0,0
LESTI,19411041,Opção V UAlg/ISE,5.0,5,,pt,0,3,0,0
LESTI,19411042,Opção VI UAlg/ISE,5.0,5,,pt,0,3,0,0
LESTI,19411043,Opção VII UAlg/ISE,5.0,5,,pt,0,3,0,0
LESTI,19411049,Cibersegurança,5.0,5,,pt,0,3,0,0
LESTI,19411050,Desenvolvimento de Aplicações com Low-Code,5.0,5,,pt,0,3,0,0
